date,time,price,load,weather
2026-03-01,00:00,0.4,600,18℃ / 66%
2026-03-01,06:00,0.445,611,19℃ / 66%
2026-03-01,12:00,0.61,741,20℃ / 65%
2026-03-01,18:00,0.654,750,21℃ / 65%
2026-03-02,00:00,0.456,638,22℃ / 64%
2026-03-02,06:00,0.496,644,23℃ / 62%
2026-03-02,12:00,0.653,767,24℃ / 61%
2026-03-02,18:00,0.688,768,25℃ / 59%
2026-03-03,00:00,0.48,647,26℃ / 58%
2026-03-03,06:00,0.509,643,26℃ / 56%
2026-03-03,12:00,0.655,757,27℃ / 54%
2026-03-03,18:00,0.678,749,27℃ / 52%
2026-03-04,00:00,0.459,619,27℃ / 50%
2026-03-04,06:00,0.478,609,27℃ / 49%
2026-03-04,12:00,0.615,718,27℃ / 47%
2026-03-04,18:00,0.63,707,27℃ / 46%
2026-03-05,00:00,0.405,577,26℃ / 45%
2026-03-05,06:00,0.42,568,26℃ / 45%
2026-03-05,12:00,0.555,681,25℃ / 44%
2026-03-05,18:00,0.571,676,24℃ / 44%
2026-03-06,00:00,0.348,553,23℃ / 44%
2026-03-06,06:00,0.367,552,22℃ / 45%
2026-03-06,12:00,0.509,674,21℃ / 45%
2026-03-06,18:00,0.533,678,20℃ / 47%
2026-03-07,00:00,0.32,565,19℃ / 48%
2026-03-07,06:00,0.35,573,18℃ / 49%
2026-03-07,12:00,0.503,702,17℃ / 51%
2026-03-07,18:00,0.539,713,16℃ / 53%
2026-03-08,00:00,0.337,604,15℃ / 54%
2026-03-08,06:00,0.378,615,14℃ / 56%
2026-03-08,12:00,0.541,744,13℃ / 58%
2026-03-08,18:00,0.585,753,12℃ / 60%
2026-03-09,00:00,0.39,640,11℃ / 61%
2026-03-09,06:00,0.435,645,11℃ / 63%
2026-03-09,12:00,0.6,768,10℃ / 64%
2026-03-09,18:00,0.645,768,10℃ / 65%
2026-03-10,00:00,0.448,645,9℃ / 66%
2026-03-10,06:00,0.489,641,9℃ / 66%
2026-03-10,12:00,0.648,754,9℃ / 66%
2026-03-10,18:00,0.685,746,9℃ / 66%
2026-03-11,00:00,0.479,616,9℃ / 65%
2026-03-11,06:00,0.51,605,10℃ / 64%
2026-03-11,12:00,0.658,714,10℃ / 63%
2026-03-11,18:00,0.683,704,11℃ / 62%
2026-03-12,00:00,0.466,574,12℃ / 60%
2026-03-12,06:00,0.486,565,12℃ / 59%
2026-03-12,12:00,0.624,679,13℃ / 57%
2026-03-12,18:00,0.64,674,14℃ / 55%
2026-03-13,00:00,0.415,552,15℃ / 53%
2026-03-13,06:00,0.43,552,17℃ / 52%
2026-03-13,12:00,0.565,675,18℃ / 50%
2026-03-13,18:00,0.58,680,19℃ / 48%
2026-03-14,00:00,0.356,567,20℃ / 47%
2026-03-14,06:00,0.374,576,21℃ / 46%
2026-03-14,12:00,0.514,706,22℃ / 45%
2026-03-14,18:00,0.537,717,23℃ / 44%
2026-03-15,00:00,0.322,608,24℃ / 44%
2026-03-15,06:00,0.35,618,25℃ / 44%
2026-03-15,12:00,0.501,748,25℃ / 44%
2026-03-15,18:00,0.535,756,26℃ / 45%
2026-03-16,00:00,0.332,642,26℃ / 46%
2026-03-16,06:00,0.371,646,27℃ / 47%
2026-03-16,12:00,0.532,768,27℃ / 48%
2026-03-16,18:00,0.575,767,27℃ / 50%
2026-03-17,00:00,0.38,644,27℃ / 51%
2026-03-17,06:00,0.425,639,27℃ / 53%
2026-03-17,12:00,0.59,751,26℃ / 55%
2026-03-17,18:00,0.635,742,26℃ / 57%
2026-03-18,00:00,0.439,612,25℃ / 59%
2026-03-18,06:00,0.482,601,24℃ / 60%
2026-03-18,12:00,0.642,710,24℃ / 62%
2026-03-18,18:00,0.681,700,23℃ / 63%
2026-03-19,00:00,0.477,571,22℃ / 64%
2026-03-19,06:00,0.51,563,21℃ / 65%
2026-03-19,12:00,0.66,677,20℃ / 66%
2026-03-19,18:00,0.687,673,18℃ / 66%
2026-03-20,00:00,0.471,552,17℃ / 66%
2026-03-20,06:00,0.493,553,16℃ / 66%
2026-03-20,12:00,0.632,677,15℃ / 65%
2026-03-20,18:00,0.649,683,14℃ / 64%
2026-03-21,00:00,0.425,570,13℃ / 63%
2026-03-21,06:00,0.44,580,12℃ / 62%
2026-03-21,12:00,0.575,710,11℃ / 60%
2026-03-21,18:00,0.59,721,11℃ / 58%
2026-03-22,00:00,0.365,611,10℃ / 57%
2026-03-22,06:00,0.382,622,10℃ / 55%
2026-03-22,12:00,0.521,751,9℃ / 53%
2026-03-22,18:00,0.542,758,9℃ / 51%
2026-03-23,00:00,0.325,644,9℃ / 49%
2026-03-23,06:00,0.351,647,9℃ / 48%
2026-03-23,12:00,0.5,768,9℃ / 47%
2026-03-23,18:00,0.532,766,10℃ / 46%
2026-03-24,00:00,0.327,642,10℃ / 45%
2026-03-24,06:00,0.364,636,11℃ / 44%
2026-03-24,12:00,0.524,748,11℃ / 44%
2026-03-24,18:00,0.566,739,12℃ / 44%
